Guangzhou MetroMetor 124NODE like this:
     114        长湴   21520       1     0.01613       0       6
     115    凤凰新村   18313       1     0.01613       0       8
     116        沙园   30311       2     0.03213  0.1149       8
     117    宝岗大道   16129       2     0.04799  0.2288       8
     118        晓港   35656       2     0.07933  0.4539       8
     119        中大   32578       2     0.09481   0.565       8
     120        鹭江   22822       2      0.1101  0.6751       8
     121        赤岗   33068       2      0.1254  0.7844       8
     122      磨碟沙   39723       2      0.1101  0.6751       8
     123      新港东   42444       2     0.09481   0.565       8
     124        琶洲   38728       2     0.07933  0.4539       8
