124
1	11230	1	1	
2	72159	1	1	
3	21190	1	1	
4	45647	1	1	
5	44473	2	1	6
6	13818	1	1	
7	13121	1	1	
8	51039	1	1	
9	69468	2	1	2
10	66145	1	1	
11	55490	1	1	
12	43127	2	1	6
13	51907	2	1	5
14	75499	2	1	3
15	15614	1	1	
16	40095	2	1	3
17	52856	2	2	3
18	28160	1	2	
19	45594	1	2	
20	73985	1	2	
21	33262	1	2	
22	28543	1	2	
23	24418	1	2	
24	50544	1	2	
25	69414	2	2	5
26	29590	1	2	
27	35404	2	2	6
28	68586	1	2	
29	40654	1	2	
30	59100	2	2	8
31	16920	1	2	
32	54273	1	2	
33	54952	1	2	
34	18606	1	2	
35	65173	1	2	
36	24786	1	2	
37	40999	1	2	
38	35877	1	2	
39	32514	1	3	
40	51827	1	3	
41	30726	1	3	
42	37914	1	3	
43	28886	1	3	
44	9983	1	3	
45	18575	1	3	
46	832	2	3	8
47	21815	1	3	
48	45025	2	3	5
49	39867	1	3	
50	59637	1	3	
51	33428	1	3	
52	28054	1	3	
53	51830	2	3	6
54	25618	1	3	
55	47926	1	3	
56	30813	1	3	
57	11208	1	3	
58	24878	1	3	
59	41620	1	3	
60	31214	1	3	
61	19878	1	3	
62	31620	2	3	6
63	29741	1	3	
64	32683	1	4	
65	19392	1	4	
66	55834	1	4	
67	61624	1	4	
68	14064	1	4	
69	44678	1	4	
70	42890	1	4	
71	17194	1	4	
72	51575	1	4	
73	61545	1	4	
74	18819	1	4	
75	10397	1	4	
76	46040	2	4	8
77	52194	2	4	5
78	35484	1	4	
79	74248	1	4	
80	75399	1	5	
81	27455	1	5	
82	21504	1	5	
83	45417	1	5	
84	18556	1	5	
85	73672	1	5	
86	28167	1	5	
87	32449	1	5	
88	32140	1	5	
89	22193	1	5	
90	18763	1	5	
91	55852	1	5	
92	75233	2	5	6
93	13081	1	5	
94	18686	1	5	
95	34011	1	5	
96	28870	1	5	
97	28965	1	5	
98	44561	2	5	6
99	8812	1	5	
100	37648	1	6	
101	27943	1	6	
102	10285	1	6	
103	3658	1	6	
104	42608	1	6	
105	28282	1	6	
106	23612	1	6	
107	62456	1	6	
108	65323	1	6	
109	63126	1	6	
110	20458	1	6	
111	11834	1	6	
112	21663	1	6	
113	21520	1	6	
114	18313	1	6	
115	30311	1	8	
116	16129	1	8	
117	35656	1	8	
118	32578	1	8	
119	22822	1	8	
120	33068	1	8	
121	39723	1	8	
122	42444	1	8	
123	38728	1	8	
124	4160	1	8	
